Rank,Name,FirstYear,LastYear,Seasons,Games,PA,HR,RBI,Runs,Hits,OPS_plus,G,O,L,D,GOLD,Tier
182,Rob Andrews,1977,1979,3,281,873,3,49,103,194,79.6,5.1,16.8,8.8,4.1,9.2,Bronze
183,Roger Metzger,1978,1980,3,197,574,0,48,46,128,79.7,3.2,17.3,6.1,8.2,9.0,Bronze
184,John Patterson,1992,1995,4,228,636,5,52,74,121,69.6,3.5,7.7,8.8,18.9,8.9,Bronze
185,Gaylord Perry,1962,1971,10,376,849,3,26,31,98,10.6,2.0,0.5,23.6,16.3,8.7,Bronze
186,Mike Matheny,2005,2006,2,181,662,16,77,52,144,81.6,4.4,19.9,3.9,3.1,8.7,Bronze
187,Manny Trillo,1984,1985,2,223,942,7,61,81,203,79.4,5.2,16.3,5.3,5.1,8.5,Bronze
188,Ken Reitz,1976,1976,1,155,614,5,66,40,154,82.9,3.5,23.0,1.4,1.0,8.4,Bronze
189,Matt Cain,2005,2017,13,332,708,7,34,27,74,18.2,2.1,1.0,27.2,7.7,7.9,Bronze
190,Jose Vizcaino,1997,2006,2,215,766,6,55,93,176,79.3,4.8,15.8,5.0,1.5,7.5,Bronze
191,Bruce Miller,1973,1976,4,196,593,1,51,43,136,70.7,3.1,8.7,7.7,9.7,7.0,Bronze
192,Mike McCormick,1958,1970,9,332,627,4,29,40,82,34.4,2.3,3.1,20.5,5.6,6.8,Bronze
193,Jack Sanford,1959,1965,7,238,541,3,27,44,72,42.2,2.2,4.1,14.1,8.7,6.4,Bronze
194,Tim Lincecum,2007,2015,9,262,579,0,19,26,53,18.5,1.5,1.5,18.2,9.2,6.4,Bronze
195,Rennie Stennett,1980,1981,2,158,517,3,44,42,117,76.0,2.8,10.2,3.1,2.6,5.0,Bronze
196,Neifi Perez,2003,2004,2,223,706,3,64,55,158,67.9,4.0,7.1,5.3,0.5,4.5,Bronze
