Rank,Name,FirstYear,LastYear,Seasons,IP,Wins,Losses,Saves,SO,ERA_plus,G,O,L,D,GOLD,Tier
75,Kelly Downs,1986,1992,7,760.6,47,38,1,494,100.0,21.4,41.1,26.8,48.7,33.9,Bronze
76,Rick Reuschel,1987,1991,5,600.3,44,30,1,283,104.4,16.3,55.7,18.8,42.4,33.8,Bronze
77,Jim Brower,2003,2005,3,223.1,17,13,4,153,107.7,7.0,64.6,6.2,55.1,33.7,Bronze
78,Mike Krukow,1983,1989,7,1152.6,66,56,1,802,94.9,32.4,24.7,35.2,45.6,33.3,Bronze
79,Ryan Vogelsong,2000,2015,7,825.0,48,49,0,646,95.3,24.2,27.2,28.2,60.1,33.1,Bronze
80,Jim Willoughby,1971,1974,4,254.4,11,14,1,115,103.4,6.0,53.2,9.1,67.1,33.0,Bronze
81,Jeff Samardzija,2016,2020,5,651.8,33,45,0,548,101.3,19.0,45.6,19.9,46.8,32.7,Bronze
82,Elias Sosa,1972,1974,3,223.2,19,12,27,128,111.0,8.7,68.4,6.2,38.0,31.9,Bronze
83,Kevin Correia,2003,2008,6,396.6,14,22,0,289,102.8,10.3,48.7,16.8,53.8,31.8,Bronze
84,Joe Nathan,1999,2016,5,269.5,25,10,1,205,103.0,9.0,50.6,11.8,57.6,31.7,Bronze
85,Dereck Rodríguez,2018,2020,3,221.1,12,15,0,162,103.8,6.2,54.4,6.1,59.5,31.3,Bronze
86,Dave Dravecky,1987,1989,3,162.1,11,7,0,102,109.4,4.6,66.5,4.9,44.9,31.3,Bronze
87,Jeff Robinson,1984,1987,4,383.6,19,26,18,282,100.3,12.0,42.4,11.9,61.4,31.0,Bronze
88,John Burkett,1987,1994,6,995.7,67,42,1,591,97.3,27.9,31.0,29.5,33.5,30.3,Bronze
89,Jim Duffalo,1961,1965,5,252.4,15,7,6,176,105.8,7.6,60.8,11.4,37.3,30.3,Bronze
90,Doyle Alexander,1981,1981,1,152.1,11,7,0,77,110.6,4.2,67.1,0.0,44.3,30.2,Bronze
91,Ray Sadecki,1966,1969,4,684.3,32,39,0,517,99.1,18.9,36.1,18.3,49.4,30.0,Bronze
92,Mike Caldwell,1974,1976,3,459.3,22,25,3,195,99.5,11.1,38.6,11.2,62.7,29.7,Bronze
93,Ron Herbel,1963,1969,7,716.8,33,29,5,364,99.5,17.9,37.3,25.9,39.2,29.6,Bronze
94,Rich Rodriguez,1997,1999,3,186.5,11,3,3,120,105.2,5.4,58.2,5.4,46.2,29.4,Bronze
95,Tom Griffin,1979,1981,3,330.4,18,15,2,244,102.2,9.5,46.8,8.4,52.5,29.1,Bronze
96,Alex Cobb,2022,2023,2,300.3,14,15,0,282,105.4,9.0,59.5,5.5,31.6,28.0,Bronze
97,Dustin Hermanson,2003,2004,2,170.0,8,10,17,129,103.7,6.0,53.8,2.7,43.0,27.1,Bronze
98,Chad Zerbe,2000,2003,4,150.3,6,1,0,70,104.3,3.5,55.1,6.9,40.5,27.0,Bronze
99,Francisco Oliveras,1990,1992,3,178.4,8,11,5,106,103.2,4.9,51.3,5.2,43.7,26.6,Bronze
100,Brad Hennessey,2004,2008,5,359.5,17,23,20,192,99.4,10.5,36.7,13.7,47.5,26.4,Bronze
101,Mike LaCoss,1986,1991,6,763.6,47,49,6,382,97.5,20.4,32.3,24.6,27.2,26.2,Bronze
102,Ed Whitson,1979,1981,3,434.3,22,30,0,217,100.0,10.8,41.8,10.7,41.1,26.1,Bronze
103,Liván Hernández,1999,2002,4,745.4,45,45,0,484,94.8,20.8,23.4,19.6,41.8,25.5,Bronze
